descripcion	canntidad	valor	fecha							
CHEETOS TRISSI   	1	1600	13/04/2025							
MAYONESA FRUCO   	1	2600	13/04/2025							
SALSA DE TOMAT   	1	2700	13/04/2025							
GALLETA GLACIT   	1	6600	13/04/2025							
GALLETA CHOKIS   	1	1700	13/04/2025							
JABON DOVE ORI   	1	4150	13/04/2025							
JABON REY X 30   	1	2800	13/04/2025							
DETER 3D MULTI   	1	5100	13/04/2025							
FABULOSO LAVAN   	1	1950	13/04/2025							
BOLSA FAMILIAR   	1	2300	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
POKER LATA X 3   	1	15950	13/04/2025							
POKER LATA X 3   	1	15950	13/04/2025							
MARLBORO ICE X   	1	6300	13/04/2025							
CERVEZA AGUILA   	1	11000	13/04/2025							
PAPA SUPER RIC   	1	9900	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
